	description	author	year	journal	function	class	vtype	ghz	jkp	hxz	hxz_ref	cz	note	sample_start	sample_end
1	Effective Tax Rate	Abarbanell and Bushee	1998	AR						Etr	A.5.24	ETR		1974	1988
2	Gross margin growth to sales growth	Abarbanell and Bushee	1998	AR	dgp_dsale	funda		pchgm_pchsale	dgp_dsale	dGs	A.5.22	GrGMToGrSales	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. JKP use gp if available, otherwise use (sale-cogs). We follow JKP."	1974	1988
3	Industry-adjusted change in capital investment	Abarbanell and Bushee	1998	AR	pchcapx_ia	funda		pchcapx_ia		dIi	A.3.11	ChInvIA	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. HXZ use capxv; we use capx or diff(ppent) if capx is missing."	1974	1988
4	Labor force efficiency	Abarbanell and Bushee	1998	AR	sale_emp_gr1	funda			sale_emp_gr1	Lfe	A.5.25	LaborforceEfficiency		1974	1988
5	Sales growth to inventory growth	Abarbanell and Bushee	1998	AR	dsale_dinv	funda		pchsale_pchinvt	dsale_dinv	dSi	A.5.20	GrSaleToGrInv	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
6	Sales growth to receivable growth	Abarbanell and Bushee	1998	AR	dsale_drec	funda		pchsale_pchrect	dsale_drec	dSa	A.5.21	GrSaleToGrReceivables	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
7	Sales growth to SG&A growth	Abarbanell and Bushee	1998	AR	dsale_dsga	funda		pchsale_pchxsga	dsale_dsga	dSs	A.5.23	GrSaleToGrOverhead	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
8	Liquidity beta (illiquidity-illiquidity)	Acharya and Pedersen	2005	JFE						Blcc	A.6.25	betaCC		1964	1999
9	Liquidity beta (illiquidity-return)	Acharya and Pedersen	2005	JFE						Blcr	A.6.25	betaCR		1964	1999
10	Liquidity beta (return-illiquidity)	Acharya and Pedersen	2005	JFE						Blrc	A.6.25	betaRC		1964	1999
11	Liquidity beta (return-return)	Acharya and Pedersen	2005	JFE						Bret	A.6.25	betaRR		1964	1999
12	Net liquidity beta	Acharya and Pedersen	2005	JFE						Bnet	A.6.25	betaNet		1964	1999
13	Leverage beta	"Adrian, Etula and Muir"	2014	JF						Blev	A.6.25	BetaBDLeverage		1973	2009
14	Idiosyncratic volatility (GHZ)	"Ali, Hwang, and Trombley"	2003	JFE	idiovol	crspd		idiovol					GHZ version: use weekly returns.	1976	1997
15	"Idiosyncratic volatility (Org, JKP)"	"Ali, Hwang, and Trombley"	2003	JFE	ivol_capm_252d	crspd			ivol_capm_252d	Iv	A.6.3	IdioVolAHT	JKP version. 	1976	1997
16	Illiquidity 	Amihud	2002	JFM	ami_126d	crspd		ill	ami_126d	Ami	A.6.16	Illiquidity		1964	1997
17	Bid-ask spread	Amihud and Mendelson	1986	JFE	baspread	crspd		baspread				BidAskSpread		1961	1980
18	Three-year investment growth	Anderson and Garcia-Feijoo	2006	JF	capx_gr3	funda			capx_gr3	3Ig	A.3.9	grcapx3y		1976	1999
19	Two-year investment growth	Anderson and Garcia-Feijoo	2006	JF	capx_gr2	funda		grcapx	capx_gr2	2Ig	A.3.8	grcapx		1976	1999
20	Dispersion in analyst long-term growth forecasts	"Anderson, Ghysels, and Juergens"	2005	RFS						Dlg	A.5.50	ForecastDispersionLT		1991	1997
21	Idiosyncratic volatility (CAPM)	Ang et al.	2006	JF	ivol_capm_21d	crspd			ivol_capm_21d	Ivc1	A.6.4	IdioVolCAPM		1963	2000
22	Idiosyncratic volatility (FF3)	Ang et al.	2006	JF	ivol_ff3_21d	crspd			ivol_ff3_21d	Ivff	A.6.2	IdioVol3F	JKP appear to make mistakes in correcting dof: they divide by (num. days - num. factors) instead of (num. days - 1).	1963	2000
23	Idiosyncratic volatility (q-factor)	Ang et al.	2006	JF	ivol_hxz4_21d	crspd			ivol_hxz4_21d	Ivq1	A.6.5	IdioVolQF	JKP appear to make mistakes in correcting dof: they divide by (num. days - num. factors) instead of (num. days - 1).	1963	2000
24	Return volatility	Ang et al.	2006	JF	retvol	crspd		retvol	rvol_21d	Tv	A.6.6	IdioRisk	"JKP use excess returns, while GHZ use total returns. We follow GHZ. We do not impose min. 15 days of return."	1963	2000
25	Systematic volatility	Ang et al.	2006	JF						Sv	A.6.7	betaVIX		1963	2000
26	Downside beta	"Ang, Chen, and Xing"	2006	RFS	betadown_252d	crspd			betadown_252d	beta-1	A.6.27	DownsideBeta		1963	2001
27	Industry-adjusted book-to-market	"Asness, Porter, and Stevens"	2000	WP	bm_ia	funda		bm_ia						1963	1998
28	Industry-adjusted cash flow-to-price	"Asness, Porter, and Stevens"	2000	WP	cfp_ia	funda		cfp_ia						1963	1998
29	Industry-adjusted change in employees	"Asness, Porter, and Stevens"	2000	WP	chempia	funda		chempia						1963	1998
30	Industry-adjusted firm size	"Asness, Porter, and Stevens"	2000	WP	mve_ia	funda		mve_ia						1963	1998
31	Book-to-market (June ME)	Asnesss and Frazzini	2013	JPM						Bmj	A.2.2				
32	Highest 5 days of return to volatility	Assness et al.	2020	JFE	rmax5_rvol_21d	crspd			rmax5_rvol_21d					1925	2015
33	Market correlation	Assness et al.	2020	JFE	corr_1260d	crspd			corr_1260d					1925	2015
34	Quality minus Junk: Composite	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj	merge			qmj					1957	2016
35	Quality minus Junk: Growth	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_growth	merge			qmj_growth					1957	2016
36	Quality minus Junk: Profitability	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_prof	merge			qmj_prof					1957	2016
37	Quality minus Junk: Safety	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_safety	merge			qmj_safety					1957	2016
38	Change in quarterly return on assets	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_at_chg1	fundq			niq_at_chg1	dRoa	A.4.4	ChangeRoA		1976	2005
39	Change in quarterly return on equity	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_be_chg1	fundq			niq_be_chg1	dRoe	A.4.2 	ChangeRoE	HXZ supplement fundq with funda but we only use fundq following JKP.	1976	2005
40	Quarterly return on assets	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_at	fundq		roaq	niq_at	Roa	A.4.3	roaq		1976	2005
41	Highest 5 days of return	"Bali, Brown, and Tang"	2017	JFE	rmax5_21d	crspd			rmax5_21d					1993	2012
42	Maximum daily return	"Bali, Cakici, and Whitelaw"	2011	JFE	rmax1_21d	crspd		maxret	rmax1_21d	Mdr	A.6.18	MaxRet	HXZ require minimum 15 days of return. We don't impose this requirement.	1962	2005
43	Idiosyncratic skewness (CAPM)	"Bali, Engle, and Murray"	2016	BOOK	iskew_capm_21d	crspd			iskew_capm_21d	Isc	A.6.20	ReturnSkewCAPM		1963	2012
44	Idiosyncratic skewness (FF3)	"Bali, Engle, and Murray"	2016	BOOK	iskew_ff3_21d	crspd			iskew_ff3_21d	Isff1	A.6.21	ReturnSkew3F		1963	2012
45	Idiosyncratic skewness (q-factor)	"Bali, Engle, and Murray"	2016	BOOK	iskew_hxz4_21d	crspd			iskew_hxz4_21d	Isq	A.6.22	ReturnSkewQF		1963	2012
46	Return skewness	"Bali, Engle, and Murray"	2016	BOOK	rskew_21d	crspd			rskew_21d	Ts	A.6.19	ReturnSkew	"JKP use excess returns, while we use total returns."	1963	2012
47	Cash-based operating profitablility	Ball et al.	2016	JFE	cop_at	funda			cop_at	Cop	A.4.18	CBOperProf	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
48	Cash-based operating profits to lagged assets	Ball et al.	2016	JFE	cop_atl1	funda			cop_atl1	Cla	A.4.19	CBOperProfLagAT	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
49	Cash-based operating profits to lagged assets (quarterly)	Ball et al.	2016	JFE						Claq	A.4.20	CBOperProfLagAT_q		1963	2014
50	Operating profits-to-assets	Ball et al.	2016	JFE	op_at	funda			op_at	Opa	A.4.15	OperProfRD	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
51	Operating profits-to-lagged assets	Ball et al.	2016	JFE	op_atl1	funda			op_atl1	Ola	A.4.16	OperProfRDLagAT	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
52	Operating profits-to-lagged assets (quarterly)	Ball et al.	2016	JFE						Olaq	A.4.17	OperProfRDLagAT_q		1963	2014
53	Absolute accruals	"Bandyopadhyay, Huang, and Wirjanto"	2010	WP	absacc	funda		absacc						1976	2008
54	Accrual volatility	"Bandyopadhyay, Huang, and Wirjanto"	2010	WP	stdacc	fundq		stdacc						1976	2008
55	Market equity	Banz	1981	JFE	market_equity	crspm		mve	market_equity	Me	A.6.1	Size	HXZ use June ME. We use the latest ME following JKP.	1926	1975
56	Sales to price	"Barbee, Mukherji, and Raines"	1996	FAJ	sale_me	funda		sp	sale_me	Sp	A.2.22	SP		1979	1991
57	Sales to price (quarterly)	"Barbee, Mukherji, and Raines"	1996	FAJ						Spq	A.2.23	SP_q		1979	1991
58	Number of consecutive quarters with earnings increases	"Barth, Elliott, and Finn"	1999	JAR	ni_inc8q	fundq	9	nincr	ni_inc8q	Nei	A.1.10	NumEarnIncrease	"JKP use yearly earnings increase (ib). We use quarterly earnings increase (ibq) following the original definition.
In CZ, the reference is Loh and Warachka (2012)."	1982	1992
59	Earnings to price	Basu	1977	JF	ni_me	funda		ep	ni_me	Ep	A.2.9	EP		1963	1971
60	Earnings to price (quarterly)	Basu	1977	JF						Epq	A.2.10	EPq		1963	1971
61	Forecasted growth in 5-year EPS	Bauman and Dowen	1988	FAJ				fgr5yr							
62	Inventory growth	Belo and Lin	2012	RFS	inv_gr1	funda			inv_gr1	Ivg	A.3.14	InvGrowth		1965	2009
63	Brand capital to assets	"Belo, Lin and Vitorino"	2014	RED						Bca	A.5.12	BrandCapital		1975	2010
64	Employment growth	"Belo, Lin, and Bazdresch"	2014	JPE	emp_gr1	funda		hire	emp_gr1	Hn	A.5.10	hire	GHZ use emp_t-1 instead of two-year average. We use the average.	1965	2010
65	Debt to market	Bhandari	1988	JFE	debt_me	funda		lev	debt_me	Dm	A.2.4	Leverage	We follow JKP's implementation.	1952	1981
66	Debt to market (quarterly)	Bhandari	1988	JFE						Dmq	A.2.5	Leverage_q		1952	1981
67	12 month residual momentum	"Blitz, Huij, and Martens"	2011	JEF	resff3_12_1	crspm			resff3_12_1	epsilon12	A.1.13	ResidualMomentum		1930	2009
68	6 month residual momentum	"Blitz, Huij, and Martens"	2011	JEF	resff3_6_1	crspm			resff3_6_1	epsilon6	A.1.12	ResidualMomentum6m		1930	2009
69	Change in operating cash flow to assets	Bouchard et al.	2019	JF	ocf_at_chg1	funda			ocf_at_chg1					1990	2015
70	Operating cash flow to assets	Bouchard et al.	2019	JF	ocf_at	funda			ocf_at					1990	2015
71	Net payout yield	Boudoukh et al.	2007	JF	eqnpo_me	funda			eqnpo_me	Nop	A.2.16	NetPayoutYield		1984	2003
72	Net payout yield (quarterly)	Boudoukh et al.	2007	JF						Nopq	A.5.17	NetPayoutYield_q		1984	2003
73	Payout yield	Boudoukh et al.	2007	JF	eqpo_me	funda			eqpo_me	Op	A.2.16	PayoutYield		1984	2003
74	Payout yield (quarterly)	Boudoukh et al.	2007	JF						Opq	A.5.17	PayoutYield_q		1984	2003
75	Net debt finance	"Bradshaw, Richardson, and Sloan"	2006	JAE	dbnetis_at	funda			dbnetis_at	Ndf	A.3.25	NetDebtFinance		1971	2000
76	Net equity finance	"Bradshaw, Richardson, and Sloan"	2006	JAE	eqnetis_at	funda			eqnetis_at	Nef	A.3.25	NetEquityFinance	JKP do not subtract dv in the numerator. We subtract dv following the original definition.	1971	2000
77	Net external finance	"Bradshaw, Richardson, and Sloan"	2006	JAE	netis_at	funda			netis_at	Nxf	A.3.25	XFIN	JKP do not subtract dv in the numerator. We subtract dv following the original definition.	1971	2000
78	Dollar trading volume (JKP)	"Brennan, Chordia, and Subrahmanyam"	1998	JFE	dolvol_126d	crspd			dolvol_126d	Dtv	A.6.13		JKP's implementation using crspd.	1966	1995
79	"Dollar trading volume (Org, GHZ)"	"Brennan, Chordia, and Subrahmanyam"	1998	JFE	dolvol	crspm		dolvol				DolVol	GHZ's implementation: original definition using crspm.	1966	1995
80	Return on invested capital	Brown and Rowe	2007	WP	roic	funda		roic				roic		1970	2005
81	Failure probaility	"Campbell, Hilscher, and Szilagyi"	2008	JF						Fp	A.4.23	FailureProbability		1981	2003
82	Earnings announcement return	"Chan, Jegadeesh, and Lakonishok"	1996	JF						Abr	A.1.2	AnnouncementReturn	Use IBES.	1977	1992
83	Revisions in analyst's' earnings forecasts	"Chan, Jegadeesh, and Lakonishok"	1996	JF				chfeps		Re	A.1.3	REV6	"GHZ refer to Hawkins, Chamberlin, and Daniel (1984)"	1977	1992
84	Advertising expense to market	"Chan, Lakonishok, and Sougiannis"	2001	JF						Adm	A.5.2	AdExp		1975	1995
85	R&D to market	"Chan, Lakonishok, and Sougiannis"	2001	JF	rd_me	funda		rd_mve	rd_me	Rdm	A.5.4	RD	"Reference in GHZ: Guo, Lev, and Shi (2006)"	1975	1995
86	R&D to market (quarterly)	"Chan, Lakonishok, and Sougiannis"	2001	JF						Rdmq	A.5.5	RD_q		1975	1995
87	R&D to sales	"Chan, Lakonishok, and Sougiannis"	2001	JF	rd_sale	funda		rd_sale	rd_sale	Rds	A.5.5	rd_sale	"Reference in GHZ: Guo, Lev, and Shi (2006)"	1975	1995
88	R&D to sales (quarterly)	"Chan, Lakonishok, and Sougiannis"	2001	JF						Rdsq	A5.6	rd_sale_q		1975	1995
89	Cash productivity	Chandrashekar and Rao	2009	WP	cashpr	funda		cashpr				CashProd		1963	2003
90	CAPEX and inventory	Chen and Zhang	2010	JF	invest	funda		invest					Chen and Zhang was retracted.		
91	Volatility of dollar trading volume (GHZ)	"Chordia, Subrahmanyam, and Anshuman"	2001	JFE	std_dolvol	crspd		std_dolvol					GHZ's implementatin: use 1-month volatility. Original definition uses 36 monthly data.	1966	1995
92	Volatility of dollar trading volume (JKP)	"Chordia, Subrahmanyam, and Anshuman"	2001	JFE	dolvol_var_126d	crspd			dolvol_var_126d	Cvd	A.6.14	VolSD	JKP's implementation: use 6-month volatility. Original definition uses 36 monthly data.	1966	1995
93	Volatility of share turnover (GHZ)	"Chordia, Subrahmanyam, and Anshuman"	2001	JFE	std_turn	crspd		std_turn					GHZ's implementatin: use 1-month volatility. Original definition uses 36 monthly data.	1966	1995
94	Volatility of share turnover (JKP)	"Chordia, Subrahmanyam, and Anshuman"	2001	JFE	turnover_var_126d	crspd			turnover_var_126d	Cvt	A.6.12	std_turn	JKP's implementation: use 6-month volatility. Original definition uses 36 monthly data.	1966	1995
95	Customer momentum	Cohen and Frazzini	2008	JF						Cm	A.1.16	CustomerMomentum		1980	2004
96	Segment momentum	Cohen and Lou	2012	JFE						Sm	A.1.14	retConglomerate		1977	2009
97	Asset growth	"Cooper, Gulen, and Schill"	2008	JF	at_gr1	funda		agr	at_gr1	I/A	A.3.2	AssetGrowth		1968	2003
98	Asset growth (quarterly)	"Cooper, Gulen, and Schill"	2008	JF						Iaq	A.3.3	AssetGrowth_q		1968	2003
99	High-low bid-ask spread	Corwin and Schultz	2012	JF	bidaskhl_21d	crspd			bidaskhl_21d	Shl	A.6.28			1927	2006
100	Disparing between long- and short-term earnings growth forecasts	Da and Warachka	2011	JFE						Dls	A.5.48	EarningsForecastDisparity		1983	2006
101	"Composite equity issuance (JKP, 12 months)"	Daniel and Titman	2006	JF	eqnpo_12m	crspm			eqnpo_12m				JKP's definition using 1-year lag (as used in Stambaugh and Yuan (2016)). We multiply JKP's eqnpo_12m by -1 to make it consistent with the original definition.	1968	2003
102	Composite equity issuance (Org)	Daniel and Titman	2006	JF	eqnpo_60m	crspm				Cei	A.3.12	CompEquIss	Original definition using 5-year lag.	1968	2003
103	Intangible return	Daniel and Titman	2006	JF						Ir	A.2.26	IntanBM		1968	2003
104	Share turnover (JKP)	"Datar, Naik, and Radcliffe"	1998	JFM	turnover_126d	crspd			turnover_126d	Tur	A.6.11		JKP's implementation using crspd.	1963	1991
105	"Share turnover (Org, GHZ)"	"Datar, Naik, and Radcliffe"	1998	JFM	turn	crspm		turn				ShareVol	GHZ's implementation (original definition) using crspm.	1963	1991
106	Long-term reversal (12-36)	De Bondt and Thaler	1985	JF	ret_36_12	crspm		mom36m				LRreversal		1929	1982
107	Long-term reversal (12-60)	De Bondt and Thaler	1985	JF	ret_60_12	crspm			ret_60_12	Rev	A.2.8			1929	1982
108	Equity duration	"Dechow, Sloan, and Soliman"	2004	RAS	eq_dur	funda			eq_dur	Dur	A.2.30	EquityDuration		1962	1998
109	Operating Cash flows to price (JKP)	"Desai, Rajgopal, and Venkatachalam"	2004	AR	ocf_me	funda			ocf_me	Ocp	A.2.24		JKP's implementation: subtle differences in filling missing values.	1973	1997
110	"Operating Cash flows to price (Org, GHZ)"	"Desai, Rajgopal, and Venkatachalam"	2004	AR	cfp	funda		cfp				cfp	GHZ's implementation: original definition	1973	1997
111	Operating Cash flows to price (quarterly)	"Desai, Rajgopal, and Venkatachalam"	2004	AR						Ocpq	A.2.25	cfpq		1973	1997
112	Altman Z-score	Dichev	1998	JF	z_score	funda			z_score	Z	A.4.26	ZScore	JKP prefer ebitda to oiadp. We follow JKP.	1981	1995
113	Altman Z-score (quarterly)	Dichev	1998	JF						Zq	A.4.27	ZScore_q		1981	1995
114	Ohlson O-score	Dichev	1998	JF	o_score	funda			o_score	O	A.4.24	OScore		1981	1995
115	Ohlson O-Score (quarterly)	Dichev	1998	JF						Oq	A.4.25	OScore_q		1981	1995
116	Credit Rating Downgrade	Dichev and Piotroski	2001	JF						Cr	A.4.28	CredRatDG	"In HXZ, the reference is Avramov et al. (2009)."	1986	1998
117	Dispersion in analysts' earnings forecasts	"Diether, Malloy, and Scherbina"	2002	JF				disp		Dis	A.5.49	ForecastDispersion		1976	2000
118	Dimson Beta	Dimson	1979	JFE	beta_dimson_21d	crspd			beta_dimson_21d	BD	A.6.10	BetaDimson		1955	1974
119	Probability of informed trading	"Easley, Hvidkjaer, and O'Hara"	2002	JF						Pin	A.6.32	ProbInformedTrading		1984	1998
120	Unexpected R&D increase	"Eberhart, Maxwell, and Siddique"	2004	JF	rd	funda	2	rd				SurpriseRD	"The original paper uses four conditions to define the indicator variable, while GHZ use only one of them. We follow the original definition."	1974	2001
121	Industry-adjusted organizational capital	Eisfeldt and Papanikolaou	2013	JF				orgcap		Ioca	A.5.1	OrgCap	This requires consumer price index.	1970	2008
122	Organization capital/assets	Eisfeldt and Papanikolaou	2013	JF						Oca	A.5.1	OrgCapNoAdj		1970	2008
123	Analysts coverage	"Elgers, Lo, and Pfeiffer"	2001	AR				nanalyst		Ana	A.5.26	nanalyst		1982	1998
124	Analysts' earnings forecast-to-price	"Elgers, Lo, and Pfeiffer"	2001	AR				sfe		Efp	A.2.11	sfe		1982	1998
125	Change in long-term net operating assets	"Fairfield, Whisenant, and Yohn"	2003	AR	lnoa_gr1a	funda		grltnoa	lnoa_gr1a	dLno	A.3.6	GrLTNOA	JKP appear to be incorrect: take diff of dp in the numerator and use sum(at) instead of avg(at) in denominator. We correct these following the original definition.	1964	1993
126	Assets-to-market	Fama and French	1992	JF	at_me	funda			at_me	Am	A.2.6	AM		1963	1990
127	Assets-to-market (quarterly)	Fama and French	1992	JF						Amq	A.2.7	AMq		1963	1990
128	Book leverage	Fama and French	1992	JF	at_be	funda			at_be	Bl	A.4.32	BookLeverage		1963	1990
129	Book leverage (quarterly)	Fama and French	1992	JF						Blq	A.4.33	BookLeverageQuarterly		1963	1990
130	"Operating profits to book equity (GHZ, Org)"	Fama and French	2006	JFE	operprof	funda		operprof				OperProf	"This is the original definition. GHZ use lag(ceq), but we use ceq following the original definition."	1977	2003
131	Operating profits to book equity (JKP)	Fama and French	2006	JFE	ope_be	funda			ope_be	Ope	A.4.12		"JKP's implementation. JKP follow HXZ, but the numerator is different. In HXZ, the numerator is the same as the original definition, but the denominator is different."	1977	2003
132	Operating profits to lagged book equity	Fama and French	2006	JFE	ope_bel1	funda			ope_bel1	Ole	A.4.13	OperProfLag	"JKP's implementation. JKP follow HXZ, but the numerator is different. In HXZ, the numerator is the same as the original definition, but the denominator is different."	1977	2003
133	Operating profits to lagged equity (quarterly)	Fama and French	2006	JFE						Oleq	A.4.14	OperProfLag_q		1977	2003
134	Beta squared (GHZ)	Fama and MacBeth	1973	JPE	betasq	crspd		betasq				BetaSquared	GHZ's implementation: use weekly returns (without subtracting risk-free rate).	1929	1968
135	Market beta  (GHZ)	Fama and MacBeth	1973	JPE	beta	crspd		beta		B1	A.6.8	Beta	GHZ's implementation: use weekly returns (without subtracting risk-free rate).	1929	1968
136	"Market beta (Org, JKP)"	Fama and MacBeth	1973	JPE	beta_60m	crspm			beta_60m	B1	A.6.8	Beta	JKP's implementation: follow the original definition and use monthly returns.	1929	1968
137	Earnings surprise	"Foster, Olsen, and Shevlin"	1984	AR	niq_su	fundq			niq_su	Sue	A.1.1	EarningsSurprise	JKP use ibq instead of epspxq. We use epspxq following the original definition. HXZ's definition of surprise is different.	1974	1981
138	Earnings conservatism	Francis et al.	2004	AR						Ecs	A.5.44	EarningsConservatism		1975	2001
139	Earnings persistence	Francis et al.	2004	AR	ni_ar1	funda			ni_ar1	Eper	A.5.41	EarningsPersistence	"JKP use ni/at as split-adjusted EPS, while the original definitin and HXZ use epspx/ajex. We follow JKP."	1975	2001
140	Earnings predictability	Francis et al.	2004	AR	ni_ivol	funda			ni_ivol	Eprd	A.5.41	EarningsPredictability	"JKP use ni/at as split-adjusted EPS, while the original definitin and HXZ use epspx/ajex. We follow JKP."	1975	2001
141	Earnings smoothness	Francis et al.	2004	AR	earnings_variability	funda			earnings_variability	Esm	A.5.42	EarningsSmoothness		1975	2001
142	Earnings timeliness	Francis et al.	2004	AR						Etl	A.5.44	EarningsTimeliness		1975	2001
143	ROA volatility	Francis et al.	2004	AR	roavol	fundq		roavol				roavol		1975	2001
144	Value relevance of earnings	Francis et al.	2004	AR						Evr	A.5.43	EarningsValueRelevance		1975	2001
145	Accrual quality	Francis et al.	2005	JAE						Acq	A.5.39	AccrualQuality		1971	2002
146	Analysts optimism	Frankel and Lee	1998	JAE						Aop	A.5.13	AOP		1975	1993
147	Analysts-based intrinsic value-to-market	Frankel and Lee	1998	JAE						Vfp	A.2.27	AnalystValue		1975	1993
148	Intrinsic value-to-market	Frankel and Lee	1998	JAE	intrinsic_value	funda			intrinsic_value	Vhp	A.2.27	IntrinsicValue		1975	1993
149	Predicted analysts focecast error	Frankel and Lee	1998	JAE						Pafe	A.5.14	PredictedFE		1975	1993
150	Pension funding rate (scaled by market equity)	Franzoni and Marin	2006	JF						Frm	A.5.45	FR		1980	2002
151	Persion funding rate (scaled by assets)	Franzoni and Marin	2006	JF						Fra	A.5.45	FRbook		1980	2002
152	Frazzini-Pedersen beta	Frazzini and Pedersen	2014	JFE	betabab_1260d	crspd			betabab_1260d	BFP	A.6.9	BetaFP		1929	2012
153	52-week high	George and Hwang	2004	JF	prc_highprc_252d	crspd			prc_highprc_252d	52w	A.1.11	High52		1963	2001
154	Change in 6-month momentum	Gettleman and Marks	2006	WP	chmom	crspm		chmom						1926	2003
